word	count
zadanie	12
domowe	14
matematyki	43
zaśpiewaj	82
proszę	175
piosenkę	111
masz	1582
zajebiste	9
żarty	35
dawaj	65
żarcik	15
pierdolę	76
firankę	22
szyszkę	2
całą	30
ziemię	140
mięso	883
zęby	164
stare	1775
zgniłe	178
jaja	44
śmieci	1247
żarcie	7
pszok	2199
słupsku	3
resztki	1584
obiadu	615
segregacja	89
segregujemy	177
kwas	45
siarkowy	12
surowce	4
złoto	1284
diamenty	122
używane	9
ubrania	1160
plecak	62
wstążkę	1
pas	4
skórzany	14
spodni	12
konsolą	1
doniczek	1
patyczki	102
uszu	96
skórki	284
banana	2385
kłąb	1
włosów	108
pierdolone	3
chuja	77
mieszkam	35
mieście	20
mikusia	1
chodziło	57
artykuł	1
wp	1
wiktorię	25
sandrę	8
fiszkę	1
robisz	64
perfumy	20
omanu	1
elektrykiem	3
słupsk	3
soki	5
będziemy	35
zakręcie	2
stanie	19
świecie	63
sortować	13
przeklina	3
chcesz	251
czerwony	76
zużyte	1229
kondony	104
wywalamy	5
czarnego	531
rozumiesz	63
czerwińsku	1
gminy	16
wyjdź	49
rozmowy	27
żył	2
basię	2
sztoka	1
zamknij	183
mordę	52
kubę	29
jakiego	1038
worka	434
dąbrowskiego	14
land	2
roverem	1
vipem	1
jeepem	1
ferie	1
zaraz	46
wyrzucę	191
nazwisko	63
łomży	2
rozumiem	64
mówisz	97
możesz	341
zadać	47
pytanie	307
raz	110
pogadamy	3
asystentem	263
granicą	3
laury	1
mirkowska	1
napisałeś	5
zamiast	12
wkładamy	17
zimnego	2
mars	5
odpowiedzi	33
nudzę	3
robić	116
trafiają	31
wrzucamy	578
bańki	8
mydlane	1
sprzątasz	2
zagniezdzil	1
faka	1
odpady	773
budowli	1
wywalić	534
zepsuta	32
żywność	22
chleb	880
filtry	19
wody	88
razie	219
dziękuję	1087
widzenia	106
porozmawiaj	829
panem	494
kurcze	12
blade	1
segregować	656
żółty	286
zielony	103
leki	795
syrop	6
starszą	10
siostrę	1690
prostytutkę	21
siebie	247
martwą	81
babcie	78
kobiety	10
dziecko	729
macicę	1
twojego	41
starego	240
teściową	2254
męża	421
swojego	96
tatę	134
wyrzucamy	1004
panią	99
niemieckiego	22
martwego	171
słonia	48
brata	1827
pozbyć	284
starej	11
żony	235
mamę	239
rzuć	8
dziwkę	26
sąsiada	158
faceta	21
moją	277
nauczycielkę	31
geja	8
kupuje	12
swoją	155
godność	15
człowiek	131
wroga	8
zadzwoń	140
taty	27
dobrego	17
rzucić	297
wrócić	278
szkoły	31
teściowa	567
ciocia	15
grzegorza	20
wojtka	22
rozłam	1
krakowie	16
dojadę	5
ul	16
stawy	1
warszawa	18
elo	40
kryształową	11
kulę	13
koza	15
nosa	110
ludzką	32
odciętą	11
rękę	65
głowę	78
swój	50
mózg	156
drzwi	667
krzesło	635
lustro	1349
wynieść	556
okno	90
okna	62
stary	1667
dywan	849
żart	391
wiesz	427
tyle	128
rzeczy	189
błąd	18
nowy	59
dom	1202
oznacza	41
abrakadabra	3
rzutnik	1
sejf	15
zmieści	40
chuj	60
dupę	377
dalej	124
ciężki	5
przypadek	6
jesteś	1630
śmieciarz	1136
nazywa	68
prosi	1
świnia	22
razy	29
zabawa	42
króla	52
ciszy	81
udało	6
całkowicie	5
gdybyś	1
dziewczyną	69
bym	57
zapytał	3
zrobisz	31
loda	30
cześć	171
siri	41
koleżanka	15
chyba	192
zdecydowanie	25
czarny	603
pojemnik	1115
kurwa	1276
telewizor	1607
dojebałeś	1
żartem	3
filologia	2
kogo	19
interesuje	15
zdaniu	2
pewien	13
kosz	224
wchodzi	6
hej	159
śmieciarzem	453
hajs	9
miliard	7
miliardów	4
konto	19
włączyć	41
murzyna	119
afroamerykanin	1
sterować	3
bezrobocie	39
ryj	50
tuska	28
dorwać	1
dobre	67
kurwy	15
debil	43
robimy	32
farbą	11
beton	54
toaleta	18
pustaki	3
ciepło	3
niemieckim	8
samochodem	75
rower	832
wywalił	1
bmw	23
ferrari	7
śmieciarkę	36
samochody	24
złom	222
rovera	1
papierowy	170
kask	6
papier	2852
gazety	478
kartony	659
serce	78
śmierdzące	169
majtki	471
oświetlenia	1
domu	142
prawo	21
będziesz	107
miał	52
huji	1
jedziemy	8
kiełbasę	56
takiego	133
wiedzieć	95
przestawiać	1
powiedz	773
weź	104
opowiedz	856
kawał	507
śmieciarka	70
starą	888
biżuterię	23
tetra	796
pak	785
śmieciarza	1136
chciałaś	5
żebym	20
mówił	14
janusz	6
pada	24
podaj	110
asystenta	758
dowcipny	15
kim	196
porozmawiać	188
oprócz	16
prostytutki	9
toalety	74
żubrówkę	1
choinkę	761
kanarka	15
kotem	109
kotu	1
kotka	19
szymona	34
zająca	17
pozdrawiam	6
kanarek	37
skład	10
biedronkę	10
pszczoły	7
5000	2
mrówek	1
grzyba	4
jajkiem	865
potrzaskaną	7
szklankę	497
wyrzucam	51
paragony	89
zabawki	728
toaletowy	886
papierosem	9
kanapkę	44
chińska	5
zabawkę	1955
papierosa	67
skarpetkę	37
zużytą	513
chusteczka	77
szmaty	77
frytki	23
okulary	170
potłuczone	709
szkło	2344
chusteczki	329
popiół	1000
kosza	2617
zmieszane	86
zepsute	243
skarpety	331
higieniczne	166
niedojedzone	9
jedzenie	727
opakowanie	3933
impregnacie	1
drewna	23
skarpetki	1616
jarka	9
dobra	570
ziom	6
torebki	158
herbacie	264
suchy	55
czysty	80
ogryzek	668
fusy	129
kawy	98
liście	650
kwiatków	19
przewody	8
elektryczne	48
lekach	210
ulotka	19
żarówki	306
led	18
komputer	1005
odkurzacz	49
sklep	23
piachu	9
zamówić	87
książkę	231
pracujesz	66
c	30
asystent	288
kolega	36
lubisz	260
słyszysz	7
poniedziałek	4
padać	16
deszcz	20
mleko	247
przypadkiem	3
zapcha	1
róż	1
chcę	986
tą	137
zmienić	17
pracę	37
jutro	108
przyjedziecie	3
butelka	3884
piwie	2651
wódce	838
słoik	1305
majonezie	42
butelkę	2410
winie	509
szklaną	186
zgadnij	9
imię	409
jebać	22
kurwę	33
pampersy	992
podpaski	1007
pieluchy	827
gąbkę	71
mycia	39
ciała	50
prezerwatywę	401
prezerwatywy	578
czarne	74
dildo	58
spermę	58
penisa	66
brudny	271
penis	14
płód	63
aborcji	6
wóz	2
policyjny	2
myślisz	45
asystencie	32
opony	953
oleju	1299
samochodowym	20
gada	28
indziej	5
farby	97
puszki	1717
farbie	171
chemię	16
domową	12
lakier	59
lakierze	36
gruz	939
niedobrego	16
kołaczyc	11
węgiel	62
styropian	1793
styropianowe	74
makaronie	17
wodę	879
taką	42
sucho	1
kurwą	8
obierki	1437
ziemniakach	632
robaki	11
zabite	8
odpadki	106
przykład	257
warzyw	34
komary	7
robale	1
lodówkę	117
mieszka	23
maskę	4
gazową	21
planetę	29
zutylizować	98
zwłoki	3272
człowieka	664
zwłokami	196
teściowej	162
ciało	543
trupa	1685
spakować	8
kubeł	18
ludzkie	340
naprawdę	54
d	40
głupia	25
robił	7
jakieś	174
nudny	12
pyta	94
huj	221
pizda	3
głupi	294
gówno	595
kupę	1318
psia	66
kupa	755
kupą	153
kota	2762
pożyczyć	8
wylać	193
brudne	1748
brudnymi	63
skarpetkami	35
papierek	1084
snickersie	709
puszkę	1252
coli	177
reklamujemy	1
pudełko	1167
mleku	3975
długopis	681
nakrętki	109
słoików	46
worek	592
cemencie	23
wapnie	2
konserwie	98
karton	4237
soku	1316
prezerwatywach	7
batonie	41
odkurzacza	55
śledziach	44
puszka	1260
kapsel	76
zakrętka	32
piwa	158
folię	359
plastik	1402
metal	813
plastikowy	140
metalu	16
plastikową	561
plastikowa	383
urazie	1
plastiki	255
butelką	225
resztkami	74
psie	172
psa	2412
szczekającego	1
żywego	40
zwierzaka	8
ziemia	144
płaska	74
nazywasz	65
baterie	2176
jabłko	656
dzikiem	3
wrzuca	503
skórka	970
skórkę	984
śmieciami	85
telefon	2130
zegar	43
wyrzucenia	33
3	56
żelazka	2
telefony	69
hulajnogę	18
elektryczną	11
samsung	12
galaxy	10
a8	1
oddać	144
zużyty	402
sprzęt	60
elektroniczny	44
elektronikę	65
klawiaturę	41
komputera	47
ładowarkę	37
twoją	195
matkę	105
znajdź	37
numer	112
telefonu	63
burdelu	1
znaleźć	84
uszkodzony	9
odpada	4
wiedzę	10
szkołę	89
podkoszulkę	2
rajstopy	43
kajdanki	4
kutasa	47
przewidziane	1
gacie	224
wariacie	4
kryształowa	5
kula	9
chcemy	13
rozmawiać	236
zobaczenia	12
wsadzić	104
wszechświat	27
świat	60
wrzucać	230
kostkę	31
rubika	12
łyżeczkę	10
stalowe	9
przedmioty	19
sreberko	32
google	2839
daj	156
maszynkę	33
golenia	83
paście	124
zębów	221
obsikane	9
zmarłe	5
zwierzę	154
zdechłego	484
zdechłym	65
bawełniany	4
kopertę	56
widziałem	13
białe	35
worki	176
jajkach	252
śmietanie	120
mojego	298
pamiętaj	5
pojemnika	711
perfumach	55
szary	126
czego	280
służy	24
przyprawach	67
tampony	88
żółtego	171
chipsach	222
jogurcie	1110
kubek	352
salami	4
zezłomować	33
butach	41
butelki	2733
wina	57
pustą	53
wodzie	134
kwasie	8
siarkowym	3
mieszkasz	124
dzięki	1010
skoszoną	66
trawę	782
trawa	175
krew	94
chipsy	71
kurczaka	180
kapcie	63
buty	1156
ciuchy	69
ręcznik	196
włosy	1239
fryzjera	3
paznokcie	147
pety	70
mąka	8
herbata	34
nara	650
koniec	196
wystarczy	82
starczy	42
niczym	44
narkotyki	195
kokaina	24
paulina	13
ludzka	14
ręka	27
szafa	65
łóżko	160
pieniądze	1580
murzyn	26
szmaciarz	3
cegła	21
tynk	22
kaloryfer	70
auto	178
marek	13
mówi	108
pierwsze	17
samochód	1439
zwiędłe	20
kwiaty	226
opowiadaj	3
śnieg	33
kostki	18
lodu	5
320	1
kocham	24
wódka	70
gumowego	4
drewno	330
majonez	13
zasmarkana	11
paragon	198
lampa	30
żarówkę	2596
żelazko	51
metalowa	61
przykrywka	4
słoika	62
szklane	492
podpaska	97
podpaskę	745
kondom	65
olej	487
samochodowy	57
akumulator	137
dezodorant	197
chemia	19
butlę	6
kapusta	20
marchewka	23
bombę	219
but	9
nygusie	2
jogurt	98
wymioty	34
rzygi	72
siki	135
piwo	306
wódkę	106
śmiechu	4
syna	54
alkohol	101
korek	80
folia	323
aluminiowa	150
plastikowe	1520
doniczka	34
kot	364
kochasz	44
banany	105
pomarańcze	23
cytryna	14
wibratory	5
elektronika	71
elektrostymulator	1
wibrator	79
bielizny	2
prezydenta	27
ok	1099
talk	5
with	2
kosztuje	46
dziwka	2
jaka	244
pogoda	180
zdechły	119
pies	271
zakręcona	2
wykształcenie	16
poproszę	50
komórkę	27
zośki	21
ogryzkiem	1836
dżemie	520
obiedzie	642
książki	221
akta	5
przeczytasz	1
starymi	69
ubraniami	19
kurtkę	30
osrane	57
poduszkę	94
papierowe	191
bokserki	6
spodnie	122
majty	19
koszulka	6
recykling	18
kabarety	21
rytm	1
szok	110
angielsku	14
zaburzenia	1
zachowania	1
ścianę	33
szafę	67
meble	224
kanapę	82
fotel	48
nową	15
kanapą	10
darmo	7
budynek	40
polsce	38
kupić	147
mieszkanie	32
zielonego	66
korę	2
ziemią	15
siano	13
miotłę	5
skargę	1
stara	176
odłamki	4
gałęziach	1
kośćmi	16
dzika	14
tackę	12
kurczaku	148
wyznacz	6
trasę	9
poznania	2
swojska	2
spleśniałą	10
szynkę	22
poznań	8
zakończ	64
rozmowę	66
głos	38
zielone	104
kosmici	4
chciałbym	122
robi	129
bomby	6
kamerę	4
kubki	86
gliniany	4
dziękujemy	21
miły	8
kochany	9
lalkę	38
jedzenia	190
śmietaną	6
śmietany	13
paluszki	8
obcięte	67
jeść	28
zesrać	16
obsrane	81
dziurawe	50
wypierdolić	102
gmina	28
palą	1
niesklasyfikowane	1
twe	3
choć	1
ukrywam	1
debilem	32
wąski	2
operatorem	1
tankowania	1
samolotów	1
play	51
śmieciem	75
śmiesznego	49
śmieciach	106
śmiecia	25
pabla	1
super	81
wredne	4
kalisko	1
koszy	17
takich	62
pełna	8
dostępny	2
zapytaj	373
byłoby	4
pienia	3
kibelek	44
odchodami	21
włożyć	166
śmieciarze	259
głupią	26
sąsiadka	5
dołu	2
padnięta	3
żabę	16
kupowała	1
rasistą	18
niespełnione	11
marzenia	29
ciekawego	87
most	6
iść	77
wywieźć	38
bobra	8
śmieciarzy	115
bobera	1
zło	9
10	94
samochodów	4
dawida	29
wojciechowskiego	2
spytać	34
naszej	4
wyspie	1
trzy	19
śmietniki	25
sąsiadkę	23
gosię	8
leży	42
małego	40
karła	2
kalendarz	18
gołymi	5
babami	6
kb	1
spleśniały	47
starym	178
chlebem	21
metalowe	195
bioodpady	44
eko	13
toksyczna	4
strzykawki	58
narkomanach	1
toksyczne	23
współlokatorkę	1
dzieci	413
głupie	47
dziewczynę	255
sąsiadki	6
kumpla	27
współlokatora	9
pioruna	1
martwe	227
passata	25
pająka	25
uciążliwego	2
siostrą	98
zepsutych	2
ludzi	232
sens	31
życia	47
mrówkę	3
niegrzecznego	22
dziecka	58
wcześniej	40
napisał	26
człowiekiem	61
mateo	1
tomka	28
maciek	5
maćka	31
kolory	41
poszczególne	4
zbiorniki	1
papiery	104
papierkiem	23
cukierku	73
gazetami	10
folią	105
kolorowym	4
kartonem	132
mówią	8
kartonu	18
kości	1221
nawiguj	8
milicz	1
grzybowa	1
1	45
szpital	11
jogurtu	75
słychać	41
słyszę	13
pisać	10
napisać	6
rozszerzenie	1
potem	38
upublicznić	1
sumie	14
moglibyśmy	2
ramach	2
pracy	60
magisterskiej	1
okej	355
bezużytecznego	1
głosowego	3
wyjebane	3
idź	138
spać	79
rzuca	59
szklanki	61
tektura	47
zepsutą	104
skarpetę	14
śmierdzącą	22
brudnym	79
papierem	149
skorupkami	17
jajek	745
promieniotwórcze	26
materiały	48
jajkami	9
mlekiem	32
jedzeniem	29
kieliszek	34
piasek	56
słoiku	20
skorupki	924
mikrofalówka	16
toster	17
słuchawkami	4
głośnik	43
laptop	99
zepsuty	193
pad	3
gry	95
mysz	90
komputerową	20
monitorem	3
zdechnięty	15
kabel	75
usb	8
książka	29
droga	4
piłę	5
becker	1
ekspres	6
myć	219
słoiki	170
wyrzuceniem	36
dymem	1
wkłada	43
szklana	155
wrzuciłbyś	1
jakiej	35
długości	1
posiekane	1
prostu	71
gabaryt	18
podasz	4
gabarytem	5
spytaj	42
drewniane	99
przypalony	4
silnikowy	81
portowanie	1
oponę	51
samochodową	20
spożywczym	53
marchewkę	46
buraki	13
serwujemy	4
słońce	81
zabrudzone	9
prześcieradła	2
ptasie	8
odchody	290
ulicy	20
pieska	35
powie	26
korki	43
butelce	19
łyżką	1
foliowe	134
opakowania	575
mleka	189
długopisów	1
konserwach	61
tymbarka	3
mięsie	99
puszczano	1
pół	25
batoniku	39
kubeczek	53
pringelsach	7
kartonik	136
plastikowej	23
działasz	11
opakowaniu	25
schrodingera	121
gówna	32
kupy	158
potrafisz	35
kiedyś	68
baterią	48
wyrzucic	181
jablko	3
gniewem	1
kaktusem	1
owoce	122
ametyst	1
skórkami	6
cytryny	17
bananie	276
brązowy	113
bananach	24
banan	147
bananem	33
cytrynę	15
znajdę	19
punkt	35
elektronikom	1
częstochowie	2
telewizory	30
dysk	16
twardy	14
telefonem	68
komórkowy	60
10:00	4
zegarek	67
coca-cola	7
puszce	8
garnkiem	2
środki	7
higieny	2
osobistej	1
zaszeregować	1
ludzie	51
ręką	14
widelec	28
ołówek	33
nożyczki	30
aluminium	127
zamki	3
nóż	67
śrubokręt	11
zwierzątko	10
zdechłą	60
wkładki	5
zmianą	1
zasłonkę	1
czerwone	25
foliówkę	4
znajduje	62
rurki	12
słomki	21
notes	5
odświeżacze	1
powietrza	33
opalona	1
kibelkiem	4
kibla	44
wygrywa	12
danio	11
pojemnikiem	35
wygląda	78
mieści	18
czarnym	98
pojemniku	56
coca-coli	56
napoju	129
todo	1
sp	3
o.o	7
goleniu	14
zużyta	124
maszynka	26
niegrzeczne	82
pierdzące	2
strupa	23
starszego	13
uran	269
wiem	424
blistry	38
lekarstwach	47
puste	113
pomarańczy	88
woreczek	55
foliowy	59
żonę	976
kolorowe	120
sałatę	11
bigosie	2
serze	54
torebka	209
sos	10
kawie	193
roletach	1
obuwie	17
crocsy	1
kolegę	208
paweł	99
kolor	166
fajne	35
złoty	43
pasek	26
gucci	8
papierosy	163
motocykl	7
kość	25
ba	2
radioaktywny	21
bartek	26
zrobił	26
góra	5
kibel	99
nadię	4
ups	6
pokićkało	9
pytaj	354
jajko	217
jajka	310
baniak	4
maśle	815
budowlany	26
gumowce	3
utylizujemy	5
psy	34
koty	62
odłożyć	2
stalowy	6
polityków	23
pomidory	46
smartfon	15
płody	40
pytania	220
rozbity	21
talerz	133
grubego	31
wypić	36
tata	132
ukryć	68
kasety	40
vhs	24
kasetach	1
woskowany	10
kredowy	14
